,date,confirmed_cases_cumulative,confirmed_cases,7dconfirmed_cases,inc,Face_Masks_Required_in_Public
243,2020-10-01,16143,165.0,164.71428571428572,8.142857142857139,Yes
244,2020-10-02,16308,165.0,160.57142857142858,-4.142857142857139,Yes
245,2020-10-03,16552,244.0,162.0,1.4285714285714164,Yes
246,2020-10-04,16714,162.0,171.57142857142858,9.571428571428584,Yes
247,2020-10-05,16800,86.0,170.28571428571428,-1.285714285714306,Yes
248,2020-10-06,16980,180.0,170.28571428571428,0.0,Yes
249,2020-10-07,17165,185.0,169.57142857142858,-0.714285714285694,Yes
250,2020-10-08,17315,150.0,167.42857142857142,-2.142857142857167,Yes
251,2020-10-09,17565,250.0,179.57142857142858,12.142857142857167,Yes
252,2020-10-10,17724,159.0,167.42857142857142,-12.142857142857167,Yes
253,2020-10-11,17899,175.0,169.28571428571428,1.8571428571428612,Yes
254,2020-10-12,17988,89.0,169.71428571428572,0.4285714285714448,Yes
255,2020-10-13,18121,133.0,163.0,-6.714285714285722,Yes
256,2020-10-14,18386,265.0,174.42857142857142,11.428571428571416,Yes
257,2020-10-15,18604,218.0,184.14285714285714,9.714285714285722,Yes
258,2020-10-16,18855,251.0,184.28571428571428,0.1428571428571388,Yes
259,2020-10-17,19144,289.0,202.85714285714286,18.571428571428584,Yes
260,2020-10-18,19360,216.0,208.71428571428572,5.857142857142861,Yes
261,2020-10-19,19528,168.0,220.0,11.285714285714278,Yes
262,2020-10-20,19842,314.0,245.85714285714286,25.85714285714286,Yes
263,2020-10-21,20172,330.0,255.14285714285714,9.285714285714278,Yes
264,2020-10-22,20441,269.0,262.42857142857144,7.285714285714306,Yes
265,2020-10-23,20747,306.0,270.2857142857143,7.857142857142833,Yes
266,2020-10-24,21128,381.0,283.42857142857144,13.142857142857167,Yes
267,2020-10-25,21507,379.0,306.7142857142857,23.285714285714278,Yes
268,2020-10-26,21841,334.0,330.42857142857144,23.714285714285722,Yes
269,2020-10-27,22204,363.0,337.42857142857144,7.0,Yes
270,2020-10-28,22551,347.0,339.85714285714283,2.428571428571388,Yes
271,2020-10-29,22875,324.0,347.7142857142857,7.85714285714289,Yes
272,2020-10-30,23280,405.0,361.85714285714283,14.14285714285711,Yes
273,2020-10-31,23598,318.0,352.85714285714283,-9.0,Yes
274,2020-11-01,23898,300.0,341.57142857142856,-11.285714285714278,Yes
275,2020-11-02,24095,197.0,322.0,-19.571428571428555,Yes
276,2020-11-03,24490,395.0,326.57142857142856,4.571428571428555,Yes
277,2020-11-04,24822,332.0,324.42857142857144,-2.1428571428571104,Yes
278,2020-11-05,25252,430.0,339.57142857142856,15.14285714285711,Yes
279,2020-11-06,25650,398.0,338.57142857142856,-1.0,Yes
280,2020-11-07,25967,317.0,338.42857142857144,-0.14285714285711038,Yes
281,2020-11-08,26193,226.0,327.85714285714283,-10.571428571428612,Yes
282,2020-11-09,26613,420.0,359.7142857142857,31.85714285714289,Yes
283,2020-11-10,26960,347.0,352.85714285714283,-6.85714285714289,Yes
284,2020-11-11,27438,478.0,373.7142857142857,20.85714285714289,Yes
285,2020-11-12,27946,508.0,384.85714285714283,11.14285714285711,Yes
286,2020-11-13,28580,634.0,418.57142857142856,33.71428571428572,Yes
287,2020-11-14,29237,657.0,467.14285714285717,48.57142857142861,Yes
288,2020-11-15,29580,343.0,483.85714285714283,16.714285714285666,Yes
289,2020-11-16,29853,273.0,462.85714285714283,-21.0,Yes
290,2020-11-17,30170,317.0,458.57142857142856,-4.285714285714278,Yes
291,2020-11-18,30695,525.0,465.2857142857143,6.714285714285722,Yes
292,2020-11-19,31411,716.0,495.0,29.714285714285722,Yes
293,2020-11-20,32073,662.0,499.0,4.0,Yes
294,2020-11-21,32638,565.0,485.85714285714283,-13.142857142857167,Yes
295,2020-11-22,33155,517.0,510.7142857142857,24.85714285714289,Yes
296,2020-11-23,33598,443.0,535.0,24.285714285714278,Yes
